OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,SEG_COMPKEY,STDY_TITLE,STDY_LABEL,YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,Shape,Shape_Length
200,,N,484993,M L KING JR WAY S,220,311061,"M L KING JR (ER&WR) WAY S, N/O S EDMUNDS ST; TOTAL FLOW; CH(AGG); 08Nov2012 11:30",20168,11738,1420,1782,484993,"M L KING JR (ER&WR) WAY S, N/O S EDMUNDS ST","311061, 2012-11-08, TOTAL",2012,Y,"M L KING JR ER & WR WAY S, NW/O S EDMUNDS ST",21473.75,1.04,22333,22300,"(47.560808447000056, -122.29324025299996)",7102.213548926104522
201,104300010,Y,13524,WESTERN AV OFF RP,22,311306,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB; NW FLOW; CHA TUBE;(2011 DATA) 04Jun2012 09:30",13786,9051,1307,1174,13524,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB","311306, 2012-06-04, NW",2012,Y,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",16637,0.964,16038,16000,"(47.61090005900007, -122.34553867499994)",800.684096850946503
202,97810020,N,490543,SR99 FY,217,311299,"WEST MARGINAL (NB&SB) WAY S, SE/O CLOVERDALE ST ON RP; TOTAL FLOW; CH(AGG); 02May2012 12:15",36545,23479,3209,3331,490543,"WEST MARGINAL (NB&SB) WAY S, SE/O CLOVERDALE ST ON RP","311299, 2012-05-02, TOTAL",2012,Y,"WEST MARGINAL NB & SB WAY S, SE/O CLOVERDALE ST ON RP",42827.599999999998545,1.002,42913,42900,"(47.534199596000065, -122.33216467699998)",6145.461645382522875
203,60150010,Y,9738,COLUMBIA ST ON RP,252,311223,"COLUMBIA ST ON RP, NE/O 1ST AVE; TOTAL FLOW; CH(AGG); 12Mar2012 12:30",20652,14161,937,2777,9738,"COLUMBIA ST ON RP, NE/O 1ST AVE","311223, 2012-03-12, TOTAL",2012,Y,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",22723.200000000000728,1.046,23768,23800,"(47.60236019700005, -122.33670251499996)",664.56559166020088
204,65700010,Y,10224,ELLIOTT AV ON RP,93,308161,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB; SE FLOW; CH1; 07Jun2012 10:30",13341,7143,929,1085,10224,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB","308161, 2012-06-07, SE",2012,Y,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB",13890,0.964,13390,13400,"(47.610664203000056, -122.34543064099995)",556.38643806113771
205,31500050,Y,6230,4TH AVE S,185,309913,"4TH AVE S, S/O 2ND AV ET S; TOTAL FLOW; CH(AGG); 12Mar2012 10:45",24941,17132,2592,2679,6230,"4TH AVE S, S/O 2ND AV ET S","309913, 2012-03-12, TOTAL",2012,Y,"4TH AVE S, S/O 2ND AV ET S",28153,1.046,29448,29400,"(47.60178556900007, -122.32894644599997)",932.017380165577606
206,55650170,Y,9318,BOREN AVE,39,309925,"BOREN AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 23Oct2012 10:30",18360,11207,1579,1545,9318,"BOREN AVE, SE/O PIKE ST","309925, 2012-10-23, TOTAL",2012,Y,"BOREN AVE, SE/O PIKE ST",20168.400000000001455,0.978,19725,19700,"(47.60648348600006, -122.32252969599995)",5447.818869961309247
207,50450230,Y,8728,ALASKAN WAY,76,310189,"ALASKAN WAY, SE/O BLANCHARD ST; TOTAL FLOW; CH(AGG); 14Mar2012 11:15",9138,5973,650,1269,8728,"ALASKAN WAY, SE/O BLANCHARD ST","310189, 2012-03-14, TOTAL",2012,Y,"ALASKAN WAY, SE/O BLANCHARD ST",9439.800000000001091,1.046,9874,9900,"(47.60784153700007, -122.34265099699996)",4264.962926742908166
208,181760010,N,22804,SW SPOKANE BR,166,310663,"SW SPOKANE BR, W/O SW SPOKANE E ST; TOTAL FLOW; CH(AGG); 18Oct2012 12:15",9595,8586,1343,1116,22804,"SW SPOKANE BR, W/O SW SPOKANE E ST","310663, 2012-10-18, TOTAL",2012,Y,"SW SPOKANE BR, W/O SW SPOKANE E ST",12390.800000000001091,0.978,12118,12100,"(47.57156290100005, -122.34420594899996)",3997.452828943677105
209,27200140,N,5452,35TH AVE SW,200,309905,"35TH AVE SW, S/O SW ALASKA ST; TOTAL FLOW; CH(AGG); 18Sep2012 11:00",22676,12973,1545,2032,5452,"35TH AVE SW, S/O SW ALASKA ST","309905, 2012-09-18, TOTAL",2012,Y,"35TH AVE SW, S/O SW ALASKA ST",23654.600000000002183,0.974,23040,23000,"(47.56407659800004, -122.37618931699996)",7074.601164246148073
210,78100010,R,489864,UNION ST OFF RAMP,227,306973,"UNION ST OFF RP, NE/O UNION ST; SW FLOW; CHA TUBE; 06Mar2012 11:30",8376,5423,1075,530,489864,"UNION ST OFF RP, NE/O UNION ST","306973, 2012-03-06, SW",2012,Y,"UNION ST OFF RP, NE/O UNION ST",9180.600000000000364,1.046,9603,9600,"(47.611576067000044, -122.33110191299994)",309.136216973011983
211,77250010,R,489829,OLIVE WAY OFF RAMP,56,308691,"OLIVE WY OFF RP, S/O OLIVE WAY; N FLOW; CHA TUBE; 26Jul2012 10:00",8572,4445,647,581,489829,"OLIVE WY OFF RP, S/O OLIVE WAY","308691, 2012-07-26, N",2012,Y,"OLIVE WY OFF RP, S/O OLIVE WAY",8894.800000000001091,0.981,8726,8700,"(47.61348159700003, -122.32993940999995)",1120.935702374601078
212,96200020,R,490079,SENECA ST OFF RAMP,141,311298,"I5 NB SENECA ST OFF RP, SE/O SENECA ST; NW FLOW; CH1; 08Mar2012 11:45",12296,7295,1377,892,490079,"I5 NB SENECA ST OFF RP, SE/O SENECA ST","311298, 2012-03-08, NW",2012,Y,"SENECA ST OFF RP, SE/O SENECA ST",12618.200000000000728,1.046,13199,13200,"(47.60567227100006, -122.32849229699997)",1443.091878314417272
213,53960170,N,573395,BEACON AVE S,108,311320,"BEACON AVE S, S/O S SPOKANE ST; TOTAL FLOW; CH(AGG); 06Jun2012 11:45",12361,7638,978,1185,573395,"BEACON AVE S, S/O S SPOKANE ST","311320, 2012-06-06, TOTAL",2012,Y,"BEACON AVE S, S/O S SPOKANE ST",13183.399999999999636,0.964,12709,12700,"(47.53895778300006, -122.29608148499995)",24971.475928276220657
214,78200010,R,489781,YALE ST ON RAMP,235,308695,"HOWELL ST ON RP, S/O HOWELL ST; S FLOW;(YALE ST) CHA TUBE; 26Jul2012 10:45",19054,10050,1138,1413,489781,"HOWELL ST ON RP, S/O HOWELL ST","308695, 2012-07-26, S",2012,Y,"HOWELL ST ON RP, N/O I5 SB",20169.600000000002183,0.981,19786,19800,"(47.61639303000004, -122.32915637199994)",448.622393919978379
215,75600010,R,490102,CHERRY ST ON RAMP NB,156,308690,"CHERRY ST ON RP, NW/O CHERRY ST; N FLOW; CHB TUBE; 26Jul2012 10:00",11116,7002,670,1198,490102,"CHERRY ST ON RP, NW/O CHERRY ST","308690, 2012-07-26, N",2012,Y,"CHERRY ST ON RP, NW/O CHERRY ST",12334.399999999999636,0.981,12100,12100,"(47.60526634200005, -122.32780083999995)",1466.019383842039588
216,77300010,R,489779,MELROSE AVE ON RAMP,117,308692,"OLIVE WY ON RP, N/O MELROSE AV ON RP; N FLOW; CHA TUBE; 26Jul2012 10:15",19964,10437,1270,1554,489779,"OLIVE WY ON RP, N/O MELROSE AV ON RP","308692, 2012-07-26, N",2012,Y,"OLIVE WY ON RP, N/O MELROSE AV ON RP",20872.600000000002183,0.981,20476,20500,"(47.61637858700004, -122.32850941899994)",1405.447781487504244
217,50950010,N,8782,ALKI AVE SW,10,310330,"ALKI AVE SW, W/O HARBOR AVE SW; TOTAL FLOW; CH(AGG); 11Oct2012 11:15",9029,5085,582,772,8782,"ALKI AVE SW, W/O HARBOR AVE SW","310330, 2012-10-11, TOTAL",2012,Y,"ALKI AVE SW, W/O HARBOR AVE SW",9292.399999999999636,0.978,9088,9100,"(47.571788585000036, -122.37065501499995)",19122.276126402397495
218,76650010,R,490110,JAMES ST ON RAMP SB,190,307001,"6TH AV ON RP, SE/O 6TH AVE; SE FLOW; CHB TUBE; 08Mar2012 10:15",17091,10424,1079,1643,490110,"6TH AV ON RP, SE/O 6TH AVE","307001, 2012-03-08, SE",2012,Y,"6TH AV ON RP, SE/O 6TH AVE",18844.400000000001455,1.046,19711,19700,"(47.601969170000075, -122.32558870799994)",644.882326286976422
219,75650010,R,490099,CHERRY ST REV RAMP,142,306995,"CHERRY ST EXPRESS RP, NE/O CHERRY ST; REV FLOW; CHA TUBE; 08Mar2012 10:45",847,932,181,199,490099,"CHERRY ST EXPRESS RP, NE/O CHERRY ST","306995, 2012-03-08, REV",2012,Y,"CHERRY ST EXPRESS RP, NE/O CHERRY ST",1080.200000000000045,1.046,1130,1100,"(47.604891251000026, -122.32926248999996)",225.508948337041517
220,76600020,R,490084,COLUMBIA ST OFF RAMP,216,306993,"JAMES ST OFF RP, N/O COLUMBIA ST; S FLOW; CH1; 08Mar2012 11:00",12903,8534,1485,936,490084,"JAMES ST OFF RP, N/O COLUMBIA ST","306993, 2012-03-08, S",2012,Y,"JAMES ST OFF RP, NW/O COLUMBIA ST",14012.200000000000728,1.046,14657,14700,"(47.60640009800005, -122.32980491999996)",314.991595957489494
221,75680010,R,489839,PIKE RAMP,51,306972,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP; REV FLOW; CHA TUBE; 06Mar2012 11:15",1861,1835,439,335,489839,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP","306972, 2012-03-06, REV",2012,Y,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP",2266.200000000000273,1.046,2370,2400,"(47.619433736000076, -122.32848587399997)",2503.775484431897439
222,77800010,R,490080,SPRING ST ON RAMP,110,306994,"SPRING ST ON RP, SE/O SPRING ST; SE FLOW; CH1; 08Mar2012 11:00",16132,9024,964,1406,490080,"SPRING ST ON RP, SE/O SPRING ST","306994, 2012-03-08, SE",2012,Y,"SPRING ST ON RP, SE/O SPRING ST",17169.799999999999272,1.046,17960,18000,"(47.60773005000004, -122.33134254599997)",424.613715658628053
223,50650130,N,8765,ALASKAN WY VI NB & SB,282,0, ,61000,0,0,0,8765, ,"WSDOT, ADT",2012,Y, ,0,0,0,61000,"(47.59409383000008, -122.33466757899998)",8414.024300301362018
224,76850010,R,490101,MADISON ST OFF RAMP,91,308689,"MADISON ST OFF RP, SE/O 7TH AVE; NW FLOW; CHA TUBE; 26Jul2012 10:00",15422,9527,1633,945,490101,"MADISON ST OFF RP, SE/O 7TH AVE","308689, 2012-07-26, NW",2012,Y,"MADISON ST OFF RP, SE/O 7TH AVE",16657.200000000000728,0.981,16341,16300,"(47.60390393400007, -122.32669589799997)",1244.032458879068145
225,76600010,R,490103,JAMES ST OFF RAMP,53,308688,"JAMES ST OFF RP, S/O JAMES ST; N FLOW; CHA TUBE; 26Jul2012 10:00",21128,13110,2054,1581,490103,"JAMES ST OFF RP, S/O JAMES ST","308688, 2012-07-26, N",2012,Y,"JAMES ST OFF RP, SE/O JAMES ST",22856.400000000001455,0.981,22422,22400,"(47.60352527100008, -122.32631488099997)",434.652986933923216
226,78150010,R,489863,UNIVERSITY ST ON RAMP,109,306992,"UNIVERSITY ST ON RP, NE/O UNIVERSITY ST; NE FLOW; CH1; 08Mar2012 11:30",7095,4630,409,856,489863,"UNIVERSITY ST ON RP, NE/O UNIVERSITY ST","306992, 2012-03-08, NE",2012,Y,"UNIVERSITY ST ON RP, N/O I5 NB",7840.199999999999818,1.046,8201,8200,"(47.61369492600005, -122.32985272899998)",1876.980425524549219
227,156300030,N,19710,S COLUMBIAN WAY,157,310073,"S COLUMBIAN (EB&WB) WAY, NW/O 14TH AVE S; TOTAL FLOW; CH(AGG); 03Apr2012 10:15",33143,20322,2484,3063,19710,"S COLUMBIAN (EB&WB) WAY, NW/O 14TH AVE S","310073, 2012-04-03, TOTAL",2012,Y,"S COLUMBIAN EB&WB WAY, NW/O 14TH AVE S",37771.599999999998545,0.984,37167,37200,"(47.571577664000074, -122.32898895899996)",5077.063938609138859
228,50650090,N,8762,ALASKAN WY VI NB & SB,281,0, ,62000,0,0,0,8762, ,"WSDOT, ADT",2012,Y, ,0,0,0,62000,"(47.61402707700006, -122.34775449899996)",8280.391133789895321
229,40250440,N,7537,51ST AVE S,256,311205,"51ST AVE S, S/O S BANGOR ST; TOTAL FLOW; CH(AGG); 03May2012 11:15",5598,3120,371,493,7537,"51ST AVE S, S/O S BANGOR ST","311205, 2012-05-03, TOTAL",2012,Y,"51ST AVE S, S/O S BANGOR ST",5687.400000000000546,1.002,5699,5700,"(47.51685113700006, -122.27002476599995)",9859.180636743858486
230,110750030,N,14073,EAST GREEN LAKE WAY N,224,309949,"EAST GREEN LAKE WAY N, NE/O N 57TH ST; TOTAL FLOW; CH(AGG); 09Oct2012 12:15",18304,12091,1397,2116,14073,"EAST GREEN LAKE WAY N, NE/O N 57TH ST","309949, 2012-10-09, TOTAL",2012,Y,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",19440.400000000001455,0.978,19013,19000,"(47.679817015000026, -122.32571289799995)",5650.600238904021353
231,70000070,N,10638,GILMAN AVE W,85,311049,"GILMAN AVE W, NW/O W EMERSON PL; TOTAL FLOW; CH(AGG); 01Aug2012 10:15",11997,6886,846,990,10638,"GILMAN AVE W, NW/O W EMERSON PL","311049, 2012-08-01, TOTAL",2012,Y,"GILMAN AVE W, NW/O W EMERSON PL",12421.600000000000364,1.008,12521,12500,"(47.65587141100008, -122.38647924699995)",4854.072479404328078
232,172350300,N,21625,SW 106TH ST,229,311257,"SW 106TH ST, W/O SEOLA BEACH DR SW; TOTAL FLOW; CH(AGG); 01May2012 11:15",9248,5332,708,815,21625,"SW 106TH ST, W/O SEOLA BEACH DR SW","311257, 2012-05-01, TOTAL",2012,Y,"SW 106TH ST, W/O SEOLA BEACH DR SW",9409.200000000000728,1.002,9428,9400,"(47.50820078700008, -122.37087513199998)",3274.922723637146191
233,185250170,N,23222,W DRAVUS ST,12,311263,"W DRAVUS ST, E/O 20TH AVE W; TOTAL FLOW; CH(AGG); 01Aug2012 10:00",20521,11428,1342,1725,23222,"W DRAVUS ST, E/O 20TH AVE W","311263, 2012-08-01, TOTAL",2012,Y,"W DRAVUS ST, E/O 20TH AVE W",21422.600000000002183,1.008,21594,21600,"(47.64847250200006, -122.37638282699999)",1380.026334985738913
234,93150200,N,12312,QUEEN ANNE AVE N,128,309650,"QUEEN ANNE AVE N, S/O CROCKETT ST; TOTAL FLOW; CH(AGG); 10Oct2012 11:15",11303,6307,726,865,12312,"QUEEN ANNE AVE N, S/O CROCKETT ST","309650, 2012-10-10, TOTAL",2012,Y,"QUEEN ANNE AVE N, S/O CROCKETT ST",11550,0.978,11296,11300,"(47.62458297400008, -122.35670922099996)",5505.528873192370156
235,4450010,N,1840,14TH AVE,130,311030,"14TH AVE, N/O E YESLER WAY; TOTAL FLOW; CH(AGG); 23Apr2012 10:30",8123,4893,633,746,1840,"14TH AVE, N/O E YESLER WAY","311030, 2012-04-23, TOTAL",2012,Y,"14TH AVE, N/O E YESLER WAY",8932.800000000001091,0.984,8790,8800,"(47.60168875700003, -122.31416192599994)",2319.759862607199011
236,81500030,N,11336,LEARY WAY NW,83,309981,"LEARY WAY NW, NW/O 3RD AVE NW; TOTAL FLOW; CH(AGG); 29Feb2012 11:45",26041,15869,2002,2412,11336,"LEARY WAY NW, NW/O 3RD AVE NW","309981, 2012-02-29, TOTAL",2012,Y,"LEARY WAY NW, NW/O 3RD AVE NW",27833.600000000002183,1.019,28362,28400,"(47.65043101700007, -122.34983490399998)",5713.530604527272772
237,14850180,N,3605,24TH AVE NW,275,311456,"24TH AVE NW, S/O NW 80TH ST; TOTAL FLOW; CH(AGG); 01Nov2012 10:15",10323,6413,883,1040,3605,"24TH AVE NW, S/O NW 80TH ST","311456, 2012-11-01, TOTAL",2012,Y, ,10924,1.04,11360,11400,"(47.66867869200007, -122.38757648699999)",7987.373520699352412
238,27200460,N,5484,35TH AVE SW,67,309903,"35TH AVE SW, N/O SW ROXBURY ST; TOTAL FLOW; CH(AGG); 01May2012 11:15",0,9006,1120,1383,5484,"35TH AVE SW, N/O SW ROXBURY ST","309903, 2012-05-01, TOTAL",2012,Y,"35TH AVE SW, N/O SW ROXBURY ST",15988,1.002,16020,16000,"(47.52107001400003, -122.37676149299995)",2685.903341761133561
239,86200680,N,11752,MERIDIAN AVE N,69,308106,"MERIDIAN AVE N, S/O N 145TH ST; TOTAL FLOW; CHB TUBE; 14May2012 10:30",3532,2455,280,450,11752,"MERIDIAN AVE N, S/O N 145TH ST","308106, 2012-05-14, TOTAL",2012,Y,"MERIDIAN AVE N, S/O N 145TH ST",3905.400000000000091,1.002,3913,3900,"(47.72320788800005, -122.33418382699995)",3986.473177729528743
240,48050420,N,8469,8TH AVE S,54,307905,"8TH AVE S, S/O S DIRECTOR ST; TOTAL FLOW; CH(AGG); 02May2012 12:00",1821,1167,168,185,8469,"8TH AVE S, S/O S DIRECTOR ST","307905, 2012-05-02, TOTAL",2012,Y,"8TH AVE S, N/O CITY LIMITS",1996.600000000000136,1.002,2001,2000,"(47.52647326400006, -122.32558706499998)",3436.949710944650178
241,116500250,N,14903,E UNION ST,258,311091,"E UNION ST, W/O 26TH AVE; TOTAL FLOW; CH(AGG); 27Jun2012 13:00",8685,5185,576,842,14903,"E UNION ST, W/O 26TH AVE","311091, 2012-06-27, TOTAL",2012,Y,"E UNION ST, W/O 26TH AVE",9168.399999999999636,0.964,8838,8800,"(47.61288935500005, -122.31673335399995)",5065.091808278198187
242,109100160,N,13894,E CHERRY ST,261,311077,"E CHERRY ST, W/O 26TH AVE; TOTAL FLOW; CH(AGG); 27Jun2012 13:15",7410,4258,483,660,13894,"E CHERRY ST, W/O 26TH AVE","311077, 2012-06-27, TOTAL",2012,Y,"E CHERRY ST, W/O 26TH AVE",7754.600000000000364,0.964,7475,7500,"(47.60805877800004, -122.316779914)",5063.265842840301957
243,113000280,N,14407,EAST MARGINAL WAY S,175,309953,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST; TOTAL FLOW; CH(AGG); 27Nov2012 12:30",9737,6970,910,961,14407,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST","309953, 2012-11-27, TOTAL",2012,Y,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",11856.399999999999636,1.04,12331,12300,"(47.54737114200003, -122.33383113599996)",1679.002377119396442
244,5600260,N,2117,15TH AVE NW,213,309494,"15TH AVE NW, S/O NW 80TH ST; S FLOW; CHA TUBE; 01Nov2012 10:30",14937,8823,1435,1093,2117,"15TH AVE NW, S/O NW 80TH ST","309494, 2012-11-01, S",2012,Y,"15TH AVE NW, S/O NW 80TH ST",15741,1.04,16371,16400,"(47.668666908000034, -122.376214474)",8046.177439515449805
245,73600060,N,10940,HOLMAN RD NW,84,309975,"HOLMAN RD NW, NE/O 13TH E AVE NW; TOTAL FLOW; CH(AGG); 25Apr2012 13:45",30004,17534,2298,2666,10940,"HOLMAN RD NW, NE/O 13TH E AVE NW","309975, 2012-04-25, TOTAL",2012,Y,"HOLMAN RD NW, NE/O 13TH E AVE NW",31311.799999999999272,0.984,30811,30800,"(47.69060910800005, -122.37680612099996)",7786.593394646370143
246,50650220,N,8766,ALASKAN WY VI NB & SB,41,311272,"ALASKAN WY VI (NB&SB), N/O EAST MARGINAL WAY S; TOTAL FLOW; CH(AGG); 07Jun2012 11:15",41811,26465,3797,3842,8766,"ALASKAN WY VI (NB&SB), N/O EAST MARGINAL WAY S","311272, 2012-06-07, TOTAL",2012,Y,"ALASKAN WY VI NB & SB, N/O EAST MARGINAL WAY S",47344.200000000004366,0.964,45640,45600,"(47.56577617200003, -122.33943897999995)",9320.277832125859277
247,55650010,N,9303,BOREN AVE,25,309923,"BOREN AVE, NW/O E YESLER WAY; TOTAL FLOW; CH(AGG); 27Mar2012 10:45",17382,10969,1471,1639,9303,"BOREN AVE, NW/O E YESLER WAY","309923, 2012-03-27, TOTAL",2012,Y,"BOREN AVE, NW/O E YESLER WAY",19207,1.046,20091,20100,"(47.599210087000074, -122.31413725499999)",3403.673559076843958
248,104200090,Y,13503,WESTERN AVE,32,311238,"WESTERN AVE, NW/O UNION ST; TOTAL FLOW; CH(AGG); 18Jul2012 11:00",8284,4976,638,774,13503,"WESTERN AVE, NW/O UNION ST","311238, 2012-07-18, TOTAL",2012,Y,"WESTERN AVE, NW/O UNION ST",8927.600000000000364,0.981,8758,8800,"(47.60172225500003, -122.33554940699997)",4200.081134974803717
249,102580290,N,13333,WEST SEATTLE BR EB & WB,208,310105,"WEST SEATTLE BR (EB&WB), NE/O FAUNTLEROY WAY SW; TOTAL FLOW; CH(AGG); 11Oct2012 11:15",42211,27509,2023,4911,13333,"WEST SEATTLE BR (EB&WB), NE/O FAUNTLEROY WAY SW","310105, 2012-10-11, TOTAL",2012,Y,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",44395.400000000001455,0.978,43419,43400,"(47.571207618000074, -122.35847912499997)",7828.253587546569179
250,102580040,N,531032,WEST SEATTLE BR EB & WB,40,311342,"WEST SEATTLE BR (EB&WB), E/O 1ST AV S OFF RP; TOTAL FLOW; CH(AGG); 18Sep2012 10:45",71808,37990,5185,5049,531032,"WEST SEATTLE BR (EB&WB), E/O 1ST AV S OFF RP","311342, 2012-09-18, TOTAL",2012,Y,WEST SEATTLE BR (EB&WB) E/O 1ST AV S OFF RP,73124,0.974,71223,71200,"(47.571577664000074, -122.32898895899996)",2529.162260954186422
251,102580040,N,13330,WEST SEATTLE BR EB & WB,2,310116,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP; TOTAL FLOW; CH(AGG); 18Sep2012 10:45",90224,49563,6601,7076,13330,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP","310116, 2012-09-18, TOTAL",2012,Y,"WEST SEATTLE BR (EB&WB) , E/O DELRIDGE-W SEATTLE BR EB ON RP",94440.400000000008731,0.974,91985,92000,"(47.57150601700005, -122.33923413299999)",4775.925420973641849
252,139300090,N,18018,NE NORTHGATE WAY,11,310037,"NE NORTHGATE WAY, W/O 15TH AVE NE; TOTAL FLOW; CH(AGG0; 19Apr2012 11:30",17039,9710,1047,1465,18018,"NE NORTHGATE WAY, W/O 15TH AVE NE","310037, 2012-04-19, TOTAL",2012,Y,"NE NORTHGATE WAY, W/O 15TH AVE NE",17639,0.984,17357,17400,"(47.708560987000055, -122.31785220999996)",4527.712612622539382
253,188450151,N,23541,,276,310721,"WEST MARGINAL WAY SW, NW/O 2ND AVE SW; TOTAL FLOW; CH(AGG); 19Sep2012 12:15",7648,4945,651,752,23541,"WEST MARGINAL WAY SW, NW/O 2ND AVE SW","310721, 2012-09-19, TOTAL",2012,Y, ,8691,0.974,8465,8500,"(47.54032992100008, -122.34218417799997)",1656.74221142686838
254,112750300,N,14364,E MADISON ST,147,311083,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E; TOTAL FLOW; CH(AGG); 23Aug2012 11:15",13666,8319,998,1214,14364,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E","311083, 2012-08-23, TOTAL",2012,Y,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",14698.399999999999636,1.008,14816,14800,"(47.61917077700008, -122.30254741099998)",3528.686984856410163
255,99400050,N,13038,SWIFT AVE S,162,311236,"SWIFT AVE S, NW/O S ALBRO PL; TOTAL FLOW; CH(AGG); 02Apr2012 11:15",6448,4313,974,580,13038,"SWIFT AVE S, NW/O S ALBRO PL","311236, 2012-04-02, TOTAL",2012,Y,"SWIFT AVE S, NW/O S ALBRO PL",7131.600000000000364,0.984,7017,7000,"(47.55344267500004, -122.31347288199999)",6228.657239188328276
256,112750115,N,14348,E MADISON ST,126,310277,"E MADISON ST, SW/O 17TH AVE; TOTAL FLOW; CH(AGG); 10Oct2012 13:15",0,12355,1524,1888,14348,"E MADISON ST, SW/O 17TH AVE","310277, 2012-10-10, TOTAL",2012,Y,"E MADISON ST, SW/O 17TH AVE",22592,0.978,22095,22100,"(47.61116907600007, -122.32076019899995)",5371.13088777386929
257,57350200,N,9450,BROADWAY,198,311041,"BROADWAY, S/O E DENNY WAY; TOTAL FLOW; CH(AGG); 17Sep2012 11:45",0,5660,589,855,9450,"BROADWAY, S/O E DENNY WAY","311041, 2012-09-17, TOTAL",2012,Y,"BROADWAY, S/O E DENNY WAY",10787,0.974,10507,10500,"(47.61125935200005, -122.32076006199998)",5032.180231019741768
258,164950115,N,20699,S LUCILE ST,230,307242,"S LUCILE ST, W/O 12TH AVE S; TOTAL FLOW; CHB TUBE; 02Apr2012 11:00",9223,5891,892,911,20699,"S LUCILE ST, W/O 12TH AVE S","307242, 2012-04-02, TOTAL",2012,Y,"S LUCILE ST, W/O 12TH AVE S",10251.800000000001091,0.984,10088,10100,"(47.55208187900007, -122.31975399299995)",2022.638373719788888
259,53900160,N,9125,BEACON AVE S,199,311040,"BEACON AVE S, N/O S SPOKANE ST; TOTAL FLOW; CH(AGG); 08Nov2012 10:15",10259,6558,789,1075,9125,"BEACON AVE S, N/O S SPOKANE ST","311040, 2012-11-08, TOTAL",2012,Y,"BEACON AVE S, N/O S SPOKANE ST",11071.75,1.04,11515,11500,"(47.580593220000026, -122.31341202099998)",3460.821434990348735
260,161950010,N,20314,S HOLGATE BR,52,307240,"S HOLGATE BR, E/O S HOLGATE ST; TOTAL FLOW; CHB TUBE; 02Apr2012 10:45",6556,4338,507,714,20314,"S HOLGATE BR, E/O S HOLGATE ST","307240, 2012-04-02, TOTAL",2012,Y,"S HOLGATE BR, E/O S HOLGATE ST",7172,0.984,7057,7100,"(47.58610376900003, -122.33419784499995)",6227.305171205312945
261,131450030,N,16680,NE 145TH ST,160,311248,"NE 145TH ST, E/O 5TH AVE NE; TOTAL FLOW; CH(AGG); 30Jul2012 10:45",17189,9061,1260,1129,16680,"NE 145TH ST, E/O 5TH AVE NE","311248, 2012-07-30, TOTAL",2012,Y,"NE 145TH ST, E/O 5TH AVE NE",18130.200000000000728,0.981,17786,17800,"(47.73406373700004, -122.32484703399996)",7977.189247075099047
262,119750210,N,15279,N 145TH ST,232,311095,"N 145TH ST, W/O MERIDIAN AVE N; TOTAL FLOW; CH(AGG); 26Jun2012 12:15",25113,13848,1586,2026,15279,"N 145TH ST, W/O MERIDIAN AVE N","311095, 2012-06-26, TOTAL",2012,Y,"N 145TH ST, W/O MERIDIAN AVE N",26457.400000000001455,0.964,25505,25500,"(47.734128428000076, -122.34509710399999)",4983.290938292529972
263,127150040,N,16114,N NORTHGATE WAY,259,310013,"N NORTHGATE WAY, W/O ASHWORTH AVE N; TOTAL FLOW; CH(AGG); 26Jun2012 11:30",0,14825,1729,2037,16114,"N NORTHGATE WAY, W/O ASHWORTH AVE N","310013, 2012-06-26, TOTAL",2012,Y,"N NORTHGATE WAY, W/O ASHWORTH AVE N",29037.600000000002183,0.964,27992,28000,"(47.70505121300005, -122.34469412899995)",4267.857027748139444
